date,new_cases,new_deaths,new_tests,cases_per_million,deaths_per_million,tests_per_million
2019-12-31,0.0,0.0,,0.0,0.0,
2020-01-01,0.0,0.0,,0.0,0.0,
2020-01-02,0.0,0.0,,0.0,0.0,
2020-01-03,0.0,0.0,,0.0,0.0,
2020-01-04,0.0,0.0,,0.0,0.0,
2020-01-05,0.0,0.0,,0.0,0.0,
2020-01-06,0.0,0.0,,0.0,0.0,
2020-01-07,0.0,0.0,,0.0,0.0,
2020-01-08,0.0,0.0,,0.0,0.0,
2020-01-09,0.0,0.0,,0.0,0.0,
2020-01-10,0.0,0.0,,0.0,0.0,
2020-01-11,0.0,0.0,,0.0,0.0,
2020-01-12,0.0,0.0,,0.0,0.0,
2020-01-13,0.0,0.0,,0.0,0.0,
2020-01-14,0.0,0.0,,0.0,0.0,
2020-01-15,0.0,0.0,,0.0,0.0,
2020-01-16,0.0,0.0,,0.0,0.0,
2020-01-17,0.0,0.0,,0.0,0.0,
2020-01-18,0.0,0.0,,0.0,0.0,
2020-01-19,0.0,0.0,,0.0,0.0,
2020-01-20,0.0,0.0,,0.0,0.0,
2020-01-21,0.0,0.0,,0.0,0.0,
2020-01-22,0.0,0.0,,0.0,0.0,
2020-01-23,0.0,0.0,,0.0,0.0,
2020-01-24,0.0,0.0,,0.0,0.0,
2020-01-25,0.0,0.0,,0.0,0.0,
2020-01-26,0.0,0.0,,0.0,0.0,
2020-01-27,0.0,0.0,,0.0,0.0,
2020-01-28,0.0,0.0,,0.0,0.0,
2020-01-29,0.0,0.0,,0.0,0.0,
2020-01-30,0.0,0.0,,0.0,0.0,
2020-01-31,3.0,0.0,,0.04961808299940915,0.0,
2020-02-01,0.0,0.0,,0.0,0.0,
2020-02-02,0.0,0.0,,0.0,0.0,
2020-02-03,0.0,0.0,,0.0,0.0,
2020-02-04,0.0,0.0,,0.0,0.0,
2020-02-05,0.0,0.0,,0.0,0.0,
2020-02-06,0.0,0.0,,0.0,0.0,
2020-02-07,0.0,0.0,,0.0,0.0,
2020-02-08,0.0,0.0,,0.0,0.0,
2020-02-09,0.0,0.0,,0.0,0.0,
2020-02-10,0.0,0.0,,0.0,0.0,
2020-02-11,0.0,0.0,,0.0,0.0,
2020-02-12,0.0,0.0,,0.0,0.0,
2020-02-13,0.0,0.0,,0.0,0.0,
2020-02-14,0.0,0.0,,0.0,0.0,
2020-02-15,0.0,0.0,,0.0,0.0,
2020-02-16,0.0,0.0,,0.0,0.0,
2020-02-17,0.0,0.0,,0.0,0.0,
2020-02-18,0.0,0.0,,0.0,0.0,
2020-02-19,0.0,0.0,,0.0,0.0,
2020-02-20,0.0,0.0,,0.0,0.0,
2020-02-21,0.0,0.0,,0.0,0.0,
2020-02-22,14.0,0.0,,0.23155105399724268,0.0,
2020-02-23,62.0,2.0,,1.025440381987789,0.0330787219996061,
2020-02-24,53.0,0.0,,0.8765861329895616,0.0,
2020-02-25,97.0,4.0,,1.6043180169808957,0.0661574439992122,
2020-02-26,93.0,5.0,,1.5381605729816836,0.08269680499901524,
2020-02-27,78.0,1.0,,1.2900701579846379,0.01653936099980305,
2020-02-28,250.0,5.0,,4.134840249950762,0.08269680499901524,
2020-02-29,238.0,4.0,,3.9363679179531257,0.0661574439992122,
2020-03-01,240.0,8.0,,3.9694466399527317,0.1323148879984244,
2020-03-02,561.0,6.0,,9.27858152088951,0.0992361659988183,
2020-03-03,347.0,17.0,,5.739158266931658,0.28116913699665186,
2020-03-04,466.0,28.0,,7.707342225908221,0.46310210799448537,
2020-03-05,587.0,27.0,,9.70860490688439,0.44656274699468235,
2020-03-06,769.0,41.0,,12.718768608848546,0.678113800991925,
2020-03-07,778.0,49.0,,12.867622857846772,0.8104286889903494,
2020-03-08,1247.0,36.0,,20.6245831667544,0.5954169959929098,
2020-03-09,1492.0,133.0,,24.67672661170615,2.1997350129738056,
2020-03-10,1797.0,98.0,,29.72123171664608,1.6208573779806987,
2020-03-11,977.0,167.0,,16.158955696807578,2.762073286967109,
2020-03-12,2313.0,196.0,,38.25554199254445,3.2417147559613975,
2020-03-13,2651.0,189.0,,43.845846010477885,3.125939228962776,
2020-03-14,2547.0,252.0,,42.12575246649837,4.167918971950368,
2020-03-15,3497.0,173.0,,57.838145416311264,2.8613094529659273,
2020-03-16,2823.0,370.0,,46.69061610244401,6.119563569927128,
2020-03-17,4000.0,347.0,,66.15744399921219,5.739158266931658,
2020-03-18,3526.0,347.0,,58.31778688530555,5.739158266931658,
2020-03-19,4207.0,473.0,,69.58109172617142,7.8231177529068425,
2020-03-20,5322.0,429.0,,88.02247924095182,7.095385868915508,
2020-03-21,5986.0,625.0,,99.00461494482106,10.337100624876905,
2020-03-22,6557.0,795.0,,108.4485900757086,13.148791994843425,
2020-03-23,5560.0,649.0,,91.95884715890496,10.73404528887218,
2020-03-24,4789.0,601.0,,79.20699982805681,9.940155960881633,
2020-03-25,5249.0,743.0,,86.81510588796621,12.288745222853665,
2020-03-26,5210.0,685.0,,86.17007080897389,11.32946228486509,
2020-03-27,6153.0,660.0,,101.76668823178817,10.915978259870013,
2020-03-28,5959.0,971.0,,98.55805219782637,16.05971953080876,
2020-03-29,5974.0,887.0,,98.80614261282342,14.670413206825305,
2020-03-30,5217.0,758.0,,86.28584633597251,12.53683563785071,
2020-03-31,4050.0,810.0,,66.98441204920235,13.39688240984047,
2020-04-01,4053.0,839.0,,67.03403013220176,13.876523878834758,
2020-04-02,4782.0,727.0,,79.09122430105818,12.024115446856817,
2020-04-03,4668.0,760.0,,77.20573714708064,12.569914359850317,
2020-04-04,4585.0,764.0,,75.83297018409698,12.63607180384953,
2020-04-05,4805.0,681.0,,79.47162960405365,11.263304840865876,
2020-04-06,4316.0,527.0,,71.38388207514996,8.716243246896207,
2020-04-07,3599.0,636.0,,59.52516023829117,10.51903359587474,
2020-04-08,3039.0,604.0,,50.26311807840147,9.989774043881042,
2020-04-09,3836.0,540.0,,63.4449887952445,8.931254939893646,
2020-04-10,4204.0,612.0,,69.53147364317202,10.122088931879466,
2020-04-11,3951.0,570.0,,65.34701531022185,9.427435769887738,
2020-04-12,4694.0,619.0,,77.63576053307551,10.237864458878088,
2020-04-13,4092.0,431.0,,67.67906521119407,7.128464590915114,
2020-04-14,3153.0,564.0,,52.14860523237901,9.328199603888919,
2020-04-15,2972.0,604.0,,49.15498089141466,9.989774043881042,
2020-04-16,2667.0,578.0,,44.11047578647473,9.559750657886163,
2020-04-17,3786.0,525.0,,62.61802074525434,8.6831645248966,
2020-04-18,3493.0,575.0,,57.771987972312054,9.510132574886754,
2020-04-19,3491.0,480.0,,57.738909250312446,7.9388932799054635,
2020-04-20,3047.0,433.0,7841.0,50.39543296639989,7.16154331291472,129.6851295994557
2020-04-21,2256.0,454.0,28095.0,37.312798415555676,7.5088698939105845,464.6733472894667
2020-04-22,2729.0,534.0,44248.0,45.13591616846252,8.832018773894829,731.8336455192854
2020-04-23,3370.0,437.0,37083.0,55.73764656933628,7.227700756913933,613.3291239556964
2020-04-24,2646.0,464.0,95273.0,43.76314920547887,7.674263503908615,1575.754540534236
2020-04-25,3021.0,420.0,38676.0,49.96540958040501,6.94653161991728,639.6763260283827
2020-04-26,2357.0,415.0,24113.0,38.98327387653579,6.863834814918265,398.8136117882509
2020-04-27,2324.0,260.0,26678.0,38.437474963542286,4.300233859948793,441.23707275274575
2020-04-28,1739.0,333.0,37554.0,28.7619487786575,5.507607212934415,621.1191629866037
2020-04-29,2091.0,382.0,38589.0,34.583803850588176,6.318035901924765,638.2374016213998
2020-04-30,2086.0,323.0,41441.0,34.50110704558916,5.342213602936385,685.4076591928382
2020-05-01,1872.0,285.0,43732.0,30.96168379163131,4.713717884943869,723.299335243387
2020-05-02,1965.0,269.0,31231.0,32.49984436461299,4.44908810894702,516.5407833848491
2020-05-03,1900.0,474.0,27047.0,31.424785899625792,7.839657113906646,447.34009696167305
2020-05-04,1389.0,174.0,22999.0,22.973172428726436,2.8778488139657306,380.3887636344703
2020-05-05,1221.0,195.0,32211.0,20.194559780759523,3.2251753949615947,532.749357164656
2020-05-06,1075.0,236.0,37771.0,17.77981307478828,3.9032891959535196,624.708204323561
2020-05-07,1444.0,369.0,13665.0,23.882837283715602,6.103024208927325,226.01036806230866
2020-05-08,1401.0,274.0,45428.0,23.17164476072407,4.531784913946035,751.350091499053
2020-05-09,1327.0,243.0,36091.0,21.947732046738647,4.019064722952141,596.9220778438919
2020-05-10,1083.0,194.0,31384.0,17.912127962786702,3.2086360339617914,519.0713056178189
2020-05-11,802.0,165.0,25823.0,13.264567521842045,2.728994564967503,427.09591909791413
2020-05-12,744.0,179.0,39620.0,12.305284583853469,2.960545618964746,655.2894828121969
2020-05-13,1402.0,172.0,37049.0,23.188184121723875,2.8447700919661245,612.7667856817031
2020-05-14,888.0,195.0,41131.0,14.686952567825108,3.2251753949615947,680.2804572828992
2020-05-15,992.0,262.0,39027.0,16.407046111804625,4.333312581948399,645.4816417393137
2020-05-16,789.0,242.0,40657.0,13.049555828844605,4.002525361952338,672.4408001689926
2020-05-17,875.0,153.0,33505.0,14.471940874827668,2.5305222329698664,554.1512902984011
2020-05-18,675.0,145.0,26101.0,11.164068674867059,2.3982073449714423,431.6938614558594
2020-05-19,451.0,99.0,40226.0,7.459251810911176,1.637396738980502,665.3123355780774
2020-05-20,813.0,162.0,38617.0,13.44650049283988,2.679376481968094,638.7005037293943
2020-05-21,665.0,161.0,40644.0,10.998675064869028,2.662837120968291,672.2257884759952
2020-05-22,642.0,156.0,42987.0,10.618269761873558,2.5801403159692757,710.9775112985337
2020-05-23,652.0,130.0,42579.0,10.783663371871588,2.1501169299743963,704.2294520106141
2020-05-24,669.0,119.0,34206.0,11.064832508868239,1.9681839589765628,565.7453823592631
2020-05-25,531.0,50.0,20676.0,8.78240069089542,0.8269680499901525,341.96782803192787
2020-05-26,300.0,92.0,33944.0,4.961808299940915,1.5216212119818806,561.4120697773147
2020-05-27,397.0,78.0,37299.0,6.56612631692181,1.2900701579846379,616.9016259316539
2020-05-28,584.0,117.0,39838.0,9.65898682388498,1.9351052369769568,658.8950635101539
2020-05-29,593.0,70.0,38233.0,9.807841072883209,1.1577552699862135,632.34938910547
2020-05-30,516.0,87.0,36051.0,8.534310275898374,1.4389244069828653,596.2605034038997
2020-05-31,416.0,111.0,28948.0,6.880374175918068,1.8358690709781385,478.78142222229866
2020-06-01,355.0,75.0,18053.0,5.871473154930083,1.2404520749852288,298.58508412944445
2020-06-02,178.0,60.0,25628.0,2.9440062579649426,0.9923616599881829,423.87074370295255
2020-06-03,318.0,55.0,20035.0,5.25951679793737,0.9096648549891677,331.3660976310541
2020-06-04,321.0,71.0,27451.0,5.309134880936779,1.1742946309860165,454.0219988055935
2020-06-05,177.0,88.0,40470.0,2.92746689696514,1.4554637679826683,669.3479396620294
2020-06-06,518.0,85.0,34036.0,8.567388997897979,1.4058456849832592,562.9336909892966
2020-06-07,270.0,72.0,27894.0,4.465627469946823,1.1908339919858195,461.34893572850626
2020-06-08,197.0,53.0,16301.0,3.2582541169612007,0.8765861329895616,269.6081236577895
2020-06-09,280.0,65.0,32200.0,4.631021079944854,1.0750584649871981,532.5674241936582
2020-06-10,283.0,79.0,37865.0,4.680639162944263,1.3066095189844409,626.2629042575425
2020-06-11,202.0,71.0,32991.0,3.340950921960216,1.1742946309860165,545.6500587445024
2020-06-12,379.0,53.0,37651.0,6.268417818925355,0.8765861329895616,622.7234810035847
2020-06-13,163.0,56.0,32880.0,2.695915842967897,0.9262042159889707,543.8141896735243
2020-06-14,346.0,78.0,29545.0,5.722618905931855,1.2900701579846379,488.65542073918107
2020-06-15,338.0,44.0,17463.0,5.5903040179334305,0.7277318839913341,288.82686113956066
2020-06-16,301.0,26.0,27762.0,4.978347660940718,0.43002338599487927,459.16574007653224
2020-06-17,210.0,34.0,33957.0,3.47326580995864,0.5623382739933037,561.6270814703122
2020-06-18,328.0,43.0,32921.0,5.4249104079354,0.7111925229915311,544.4923034745162
2020-06-19,331.0,66.0,28570.0,5.4745284909348095,1.0915978259870012,472.5295437643731
2020-06-20,-148.0,47.0,29875.0,-2.447825427970851,0.7773499669907433,494.1134098691161
2020-06-21,264.0,49.0,24581.0,4.366391303948005,0.8104286889903494,406.5540327361588
2020-06-22,224.0,24.0,16152.0,3.704816863955883,0.3969446639952732,267.14375886881885
2020-06-23,221.0,23.0,23225.0,3.655198780956474,0.38040530299547015,384.12665922042584
2020-06-24,113.0,18.0,30237.0,1.8689477929777445,0.2977084979964549,500.1006585510448
2020-06-25,577.0,-31.0,29421.0,9.54321129688636,-0.5127201909938945,486.6045399752055
2020-06-26,296.0,34.0,28331.0,4.895650855941702,0.5623382739933037,468.5766364854202
2020-06-27,255.0,30.0,29721.0,4.217537054949777,0.49618082999409147,491.5663482751464
2020-06-28,175.0,8.0,21183.0,2.894388174965534,0.1323148879984244,350.35328405882797
2020-06-29,174.0,22.0,15484.0,2.8778488139657306,0.3638659419956671,256.0954657209504
2020-06-30,126.0,6.0,28471.0,2.083959485975184,0.0992361659988183,470.8921470253926
2020-07-01,142.0,23.0,29325.0,2.348589261972033,0.38040530299547015,485.01676131922443
2020-07-02,182.0,21.0,29147.0,3.010163701964155,0.34732658099586405,482.0727550612595
2020-07-03,201.0,30.0,25680.0,3.324411560960413,0.49618082999409147,424.7307904749423
2020-07-04,223.0,15.0,28946.0,3.68827750295608,0.24809041499704573,478.7483435002991
2020-07-05,235.0,21.0,21166.0,3.8867498349537164,0.34732658099586405,350.0721149218313
2020-07-06,192.0,7.0,13771.0,3.1755573119621854,0.11577552699862134,227.7635403282878
2020-07-07,208.0,8.0,22490.0,3.440187087959034,0.1323148879984244,371.9702288855706
2020-07-08,137.0,30.0,28679.0,2.2658924569730177,0.49618082999409147,474.33233411335164
2020-07-09,193.0,15.0,29947.0,3.1920966729619886,0.24809041499704573,495.3042438611019
2020-07-10,214.0,12.0,27251.0,3.5394232539578527,0.1984723319976366,450.7141266056329
2020-07-11,276.0,12.0,25449.0,4.564863635945642,0.1984723319976366,420.9101980839878
2020-07-12,188.0,7.0,23061.0,3.1093998679629733,0.11577552699862134,381.41420401645814
2020-07-13,234.0,9.0,14006.0,3.8702104739539136,0.14885424899822744,231.65029016324152
2020-07-14,169.0,13.0,24222.0,2.7951520089667152,0.21501169299743964,400.61640213722944
2020-07-15,114.0,17.0,28392.0,1.8854871539775475,0.28116913699665186,469.5855375064082
2020-07-16,162.0,13.0,28089.0,2.679376481968094,0.21501169299743964,464.57411112346784
2020-07-17,230.0,20.0,28661.0,3.8040530299547015,0.330787219996061,474.0346256153552
2020-07-18,231.0,11.0,27569.0,3.8205923909545043,0.18193297099783354,455.9736434035703
2020-07-19,249.0,14.0,20621.0,4.11830088895096,0.23155105399724268,341.0581631769387
2020-07-20,218.0,3.0,14121.0,3.605580697957065,0.04961808299940915,233.55231667821886
2020-07-21,190.0,13.0,23915.0,3.1424785899625793,0.21501169299743964,395.5388183102899
2020-07-22,128.0,15.0,29288.0,2.1170382079747903,0.24809041499704573,484.4048049622317
2020-07-23,280.0,9.0,33018.0,4.631021079944854,0.14885424899822744,546.0966214914971
2020-07-24,306.0,10.0,28970.0,5.061044465939733,0.1653936099980305,479.14528816429436
2020-07-25,252.0,5.0,28059.0,4.167918971950368,0.08269680499901524,464.07793029347374
2020-07-26,274.0,5.0,25177.0,4.531784913946035,0.08269680499901524,416.4114918920414
2020-07-27,254.0,5.0,19374.0,4.200997693949975,0.08269680499901524,320.4335800101843
2020-07-28,168.0,5.0,25341.0,2.7786126479669124,0.08269680499901524,419.1239470960091
2020-07-29,202.0,11.0,30875.0,3.340950921960216,0.18193297099783354,510.65277086891916
2020-07-30,288.0,6.0,33396.0,4.763335967943278,0.0992361659988183,552.3484999494226
2020-07-31,382.0,3.0,29686.0,6.318035901924765,0.04961808299940915,490.98747064015333
2020-08-01,379.0,9.0,31905.0,6.268417818925355,0.14885424899822744,527.6883126987162
2020-08-02,295.0,5.0,24496.0,4.8791114949419,0.08269680499901524,405.1481870511755
2020-08-03,238.0,8.0,13467.0,3.9363679179531257,0.1323148879984244,222.73557458434766
2020-08-04,159.0,12.0,23491.0,2.629758398968685,0.1984723319976366,388.52612924637344
2020-08-05,190.0,5.0,29739.0,3.1424785899625793,0.08269680499901524,491.86405677314286
2020-08-06,384.0,10.0,32169.0,6.351114623924371,0.1653936099980305,532.0547040026643
2020-08-07,401.0,6.0,30392.0,6.632283760921022,0.0992361659988183,502.6642595060143
2020-08-08,552.0,3.0,26631.0,9.129727271891284,0.04961808299940915,440.459722785755
2020-08-09,347.0,13.0,22773.0,5.739158266931658,0.21501169299743964,376.65086804851484
2020-08-10,463.0,2.0,10904.0,7.657724142908812,0.0330787219996061,180.34519234185245
2020-08-11,259.0,4.0,22063.0,4.283694498948989,0.0661574439992122,364.9079217386547
2020-08-12,412.0,6.0,27330.0,6.814216731918856,0.0992361659988183,452.0207361246173
2020-08-13,476.0,10.0,25629.0,7.872735835906251,0.1653936099980305,423.88728306395234
2020-08-14,522.0,6.0,24868.0,8.633546441897192,0.0992361659988183,411.30082934310224
2020-08-15,574.0,3.0,25937.0,9.49359321388695,0.04961808299940915,428.9814062518917
2020-08-16,629.0,158.0,22470.0,10.403258068876118,2.6132190379688818,371.6394416655745
2020-08-17,477.0,4.0,21379.0,7.889275196906055,0.0661574439992122,353.5949988147894
2020-08-18,320.0,4.0,32687.0,5.292595519936976,0.0661574439992122,540.6220930005622
2020-08-19,401.0,5.0,41290.0,6.632283760921022,0.08269680499901524,682.910215681868
2020-08-20,642.0,7.0,49662.0,10.618269761873558,0.11577552699862134,821.377745972219
2020-08-21,840.0,6.0,44943.0,13.89306323983456,0.0992361659988183,743.3285014141485
2020-08-22,947.0,9.0,46613.0,15.662774866813487,0.14885424899822744,770.9492342838196
2020-08-23,1071.0,3.0,47463.0,17.713655630789066,0.04961808299940915,785.0076911336521
2020-08-24,1209.0,7.0,33358.0,19.996087448761887,0.11577552699862134,551.7200042314302
2020-08-25,953.0,4.0,45798.0,15.762011032812305,0.0661574439992122,757.46965506898
2020-08-26,876.0,4.0,58054.0,14.48848023582747,0.0661574439992122,960.1760634825662
2020-08-27,1366.0,13.0,57640.0,22.592767125730965,0.21501169299743964,953.3287680286478
2020-08-28,1409.0,5.0,65135.0,23.303959648722497,0.08269680499901524,1077.2912787221717
2020-08-29,1460.0,9.0,64294.0,24.14746705971245,0.14885424899822744,1063.3816761213373
2020-08-30,1444.0,1.0,53541.0,23.882837283715602,0.01653936099980305,885.533927290455
2020-08-31,1365.0,4.0,42583.0,22.57622776473116,0.0661574439992122,704.2956094546132
2020-09-01,996.0,6.0,54395.0,16.47320355580384,0.0992361659988183,899.6585415842869
2020-09-02,975.0,8.0,,16.125876974807973,0.1323148879984244,
2020-09-03,1326.0,6.0,,21.931192685738843,0.0992361659988183,
